States,Registered_users,Transaction_count,Amount in Millions,Year,Quarter,state_code,Latitude,Longitude
Rajasthan,27255927,865574848,1460000.00,2022,4th Quarter,8,26.44999921,74.63998124
Sikkim,20051,44078,64.65,2018,1st Quarter,11,27.3333303,88.6166475
Sikkim,28097,74578,143.69,2018,2nd Quarter,11,27.3333303,88.6166475
Sikkim,37637,108500,235.08,2018,3rd Quarter,11,27.3333303,88.6166475
Sikkim,48538,154533,383.14,2018,4th Quarter,11,27.3333303,88.6166475
Sikkim,58956,240287,457.99,2019,1st Quarter,11,27.3333303,88.6166475
Sikkim,70999,388244,738.89,2019,2nd Quarter,11,27.3333303,88.6166475
Sikkim,82128,552436,884.72,2019,3rd Quarter,11,27.3333303,88.6166475
Sikkim,92972,767070,1176.51,2019,4th Quarter,11,27.3333303,88.6166475
Sikkim,104631,528118,1053.48,2020,1st Quarter,11,27.3333303,88.6166475
Sikkim,119921,517731,1054.62,2020,2nd Quarter,11,27.3333303,88.6166475
Sikkim,134773,596435,1400.93,2020,3rd Quarter,11,27.3333303,88.6166475
Sikkim,148543,735035,1919.28,2020,4th Quarter,11,27.3333303,88.6166475
Sikkim,160213,800189,2217.67,2021,1st Quarter,11,27.3333303,88.6166475
Sikkim,171740,976714,2424.90,2021,2nd Quarter,11,27.3333303,88.6166475
Sikkim,184693,1160594,2989.34,2021,3rd Quarter,11,27.3333303,88.6166475
Sikkim,197407,1584345,4196.78,2021,4th Quarter,11,27.3333303,88.6166475
Sikkim,209616,1744302,4367.43,2022,1st Quarter,11,27.3333303,88.6166475
Sikkim,220994,2322081,5611.11,2022,2nd Quarter,11,27.3333303,88.6166475
Sikkim,232025,2396758,5162.88,2022,3rd Quarter,11,27.3333303,88.6166475
Sikkim,241968,3058339,6458.39,2022,4th Quarter,11,27.3333303,88.6166475
Tamil Nadu,2104754,6726622,11261.56,2018,1st Quarter,33,12.92038576,79.15004187
Tamil Nadu,2996036,9992128,20125.84,2018,2nd Quarter,33,12.92038576,79.15004187
Tamil Nadu,3900177,15774078,29330.09,2018,3rd Quarter,33,12.92038576,79.15004187
Tamil Nadu,5199878,22457444,43302.07,2018,4th Quarter,33,12.92038576,79.15004187
Tamil Nadu,6296303,32275045,56204.04,2019,1st Quarter,33,12.92038576,79.15004187
Tamil Nadu,7429609,32171737,64207.68,2019,2nd Quarter,33,12.92038576,79.15004187
Tamil Nadu,8428835,41410183,78959.60,2019,3rd Quarter,33,12.92038576,79.15004187
Tamil Nadu,9620493,56596411,103000.00,2019,4th Quarter,33,12.92038576,79.15004187
Tamil Nadu,10872368,66953473,117000.00,2020,1st Quarter,33,12.92038576,79.15004187
Tamil Nadu,12150786,51870110,95826.51,2020,2nd Quarter,33,12.92038576,79.15004187
Tamil Nadu,13643451,70277825,144000.00,2020,3rd Quarter,33,12.92038576,79.15004187
Tamil Nadu,15357586,111179701,206000.00,2020,4th Quarter,33,12.92038576,79.15004187
Tamil Nadu,16632608,136556674,249000.00,2021,1st Quarter,33,12.92038576,79.15004187
Tamil Nadu,17804542,146158442,263000.00,2021,2nd Quarter,33,12.92038576,79.15004187
Tamil Nadu,19127440,204357404,365000.00,2021,3rd Quarter,33,12.92038576,79.15004187
Tamil Nadu,20433142,259155976,444000.00,2021,4th Quarter,33,12.92038576,79.15004187
Tamil Nadu,21667020,294573150,513000.00,2022,1st Quarter,33,12.92038576,79.15004187
Tamil Nadu,22829720,354506937,590000.00,2022,2nd Quarter,33,12.92038576,79.15004187
Tamil Nadu,24019964,393496175,632000.00,2022,3rd Quarter,33,12.92038576,79.15004187
Tamil Nadu,25136112,436316636,676000.00,2022,4th Quarter,33,12.92038576,79.15004187
Telangana,3315560,8522766,13308.20,2018,1st Quarter,0,18.1124,79.0193
Telangana,4260115,10764670,23017.20,2018,2nd Quarter,0,18.1124,79.0193
Telangana,5138501,19332703,32030.09,2018,3rd Quarter,0,18.1124,79.0193
Telangana,6529679,28921154,49509.09,2018,4th Quarter,0,18.1124,79.0193
Telangana,7963425,65290702,95523.26,2019,1st Quarter,0,18.1124,79.0193
Telangana,9046007,89610379,156000.00,2019,2nd Quarter,0,18.1124,79.0193
Telangana,10090557,121495376,202000.00,2019,3rd Quarter,0,18.1124,79.0193
Telangana,11220691,163572258,281000.00,2019,4th Quarter,0,18.1124,79.0193
Telangana,12306860,199409525,371000.00,2020,1st Quarter,0,18.1124,79.0193
Telangana,13378191,152055143,322000.00,2020,2nd Quarter,0,18.1124,79.0193
Telangana,14590882,236372126,506000.00,2020,3rd Quarter,0,18.1124,79.0193
Telangana,15927797,343643787,696000.00,2020,4th Quarter,0,18.1124,79.0193
Telangana,17149069,412572110,799000.00,2021,1st Quarter,0,18.1124,79.0193
Telangana,18306880,495867544,1030000.00,2021,2nd Quarter,0,18.1124,79.0193
Telangana,19615278,622886768,1180000.00,2021,3rd Quarter,0,18.1124,79.0193
Telangana,20917649,775989773,1460000.00,2021,4th Quarter,0,18.1124,79.0193
Telangana,22150612,886453385,1670000.00,2022,1st Quarter,0,18.1124,79.0193
Telangana,23314363,1063382557,1950000.00,2022,2nd Quarter,0,18.1124,79.0193
Telangana,24506111,1628165401,2710000.00,2022,3rd Quarter,0,18.1124,79.0193
Telangana,25656381,1819506832,2980000.00,2022,4th Quarter,0,18.1124,79.0193
Tripura,55157,148157,137.98,2018,1st Quarter,16,23.83540428,91.27999914
Tripura,83369,214559,236.89,2018,2nd Quarter,16,23.83540428,91.27999914
Tripura,116874,377703,453.86,2018,3rd Quarter,16,23.83540428,91.27999914
Tripura,153265,448059,624.89,2018,4th Quarter,16,23.83540428,91.27999914
Tripura,183254,580926,756.89,2019,1st Quarter,16,23.83540428,91.27999914
Tripura,217644,532558,841.82,2019,2nd Quarter,16,23.83540428,91.27999914
Tripura,245456,711717,1017.38,2019,3rd Quarter,16,23.83540428,91.27999914
Tripura,272298,801824,1215.40,2019,4th Quarter,16,23.83540428,91.27999914
Tripura,299962,924502,1588.78,2020,1st Quarter,16,23.83540428,91.27999914
Tripura,336666,1052520,1769.18,2020,2nd Quarter,16,23.83540428,91.27999914
Tripura,376731,1317885,2341.82,2020,3rd Quarter,16,23.83540428,91.27999914
Tripura,409110,1651890,3182.13,2020,4th Quarter,16,23.83540428,91.27999914
Tripura,439636,1511423,3335.34,2021,1st Quarter,16,23.83540428,91.27999914
Tripura,472153,1744429,3468.15,2021,2nd Quarter,16,23.83540428,91.27999914
Tripura,509929,2081200,4364.13,2021,3rd Quarter,16,23.83540428,91.27999914
Tripura,546292,2520693,5496.93,2021,4th Quarter,16,23.83540428,91.27999914
Tripura,582124,2871190,6247.33,2022,1st Quarter,16,23.83540428,91.27999914
Tripura,615782,3418664,6878.27,2022,2nd Quarter,16,23.83540428,91.27999914
Tripura,649143,4256579,8648.35,2022,3rd Quarter,16,23.83540428,91.27999914
Tripura,678741,5198190,10452.97,2022,4th Quarter,16,23.83540428,91.27999914
Uttar Pradesh,4694250,12537805,13939.97,2018,1st Quarter,9,27.59998069,78.05000565
Uttar Pradesh,6442554,17710943,25720.20,2018,2nd Quarter,9,27.59998069,78.05000565
Uttar Pradesh,8096483,26515356,37012.11,2018,3rd Quarter,9,27.59998069,78.05000565
Uttar Pradesh,10341964,36100767,55096.74,2018,4th Quarter,9,27.59998069,78.05000565
Uttar Pradesh,12458661,57324504,76524.18,2019,1st Quarter,9,27.59998069,78.05000565
Uttar Pradesh,14316349,58883500,98917.52,2019,2nd Quarter,9,27.59998069,78.05000565
Uttar Pradesh,16044607,68623959,111000.00,2019,3rd Quarter,9,27.59998069,78.05000565
Uttar Pradesh,17949542,86905005,146000.00,2019,4th Quarter,9,27.59998069,78.05000565
Uttar Pradesh,20136256,97239132,172000.00,2020,1st Quarter,9,27.59998069,78.05000565
Uttar Pradesh,22498519,100851965,179000.00,2020,2nd Quarter,9,27.59998069,78.05000565
Uttar Pradesh,24838116,127405259,249000.00,2020,3rd Quarter,9,27.59998069,78.05000565
Uttar Pradesh,27249134,178167517,357000.00,2020,4th Quarter,9,27.59998069,78.05000565
Uttar Pradesh,29482075,204499547,396000.00,2021,1st Quarter,9,27.59998069,78.05000565
Uttar Pradesh,31651894,241949131,482000.00,2021,2nd Quarter,9,27.59998069,78.05000565
Uttar Pradesh,34151882,306543384,557000.00,2021,3rd Quarter,9,27.59998069,78.05000565
Uttar Pradesh,36617655,406157932,774000.00,2021,4th Quarter,9,27.59998069,78.05000565
Uttar Pradesh,38999692,473953246,883000.00,2022,1st Quarter,9,27.59998069,78.05000565
Uttar Pradesh,41247289,595298776,1070000.00,2022,2nd Quarter,9,27.59998069,78.05000565
Uttar Pradesh,43537920,703589072,1120000.00,2022,3rd Quarter,9,27.59998069,78.05000565
Uttar Pradesh,45648650,836369071,1380000.00,2022,4th Quarter,9,27.59998069,78.05000565
Uttarakhand,483043,1246685,1508.55,2018,1st Quarter,5,30.0668,79.0193
Uttarakhand,649142,1704122,2679.76,2018,2nd Quarter,5,30.0668,79.0193
Uttarakhand,810612,2229132,3726.57,2018,3rd Quarter,5,30.0668,79.0193
Uttarakhand,1012103,3178761,5654.27,2018,4th Quarter,5,30.0668,79.0193
Uttarakhand,1224955,5546001,7183.53,2019,1st Quarter,5,30.0668,79.0193
Uttarakhand,1414339,4813275,8588.53,2019,2nd Quarter,5,30.0668,79.0193
Uttarakhand,1585859,5710476,9729.03,2019,3rd Quarter,5,30.0668,79.0193
Uttarakhand,1752677,7362116,12573.71,2019,4th Quarter,5,30.0668,79.0193
Uttarakhand,1943606,9131784,16158.08,2020,1st Quarter,5,30.0668,79.0193
Uttarakhand,2148567,9047770,16094.19,2020,2nd Quarter,5,30.0668,79.0193
Uttarakhand,2365438,11818935,22103.51,2020,3rd Quarter,5,30.0668,79.0193
Uttarakhand,2596244,17613271,31792.74,2020,4th Quarter,5,30.0668,79.0193
Uttarakhand,2802122,20608402,36288.19,2021,1st Quarter,5,30.0668,79.0193
Uttarakhand,3004040,24000432,40990.82,2021,2nd Quarter,5,30.0668,79.0193
Uttarakhand,3233509,31042284,50527.50,2021,3rd Quarter,5,30.0668,79.0193
Uttarakhand,3460015,40361280,66148.11,2021,4th Quarter,5,30.0668,79.0193
Uttarakhand,3674829,44560772,70978.78,2022,1st Quarter,5,30.0668,79.0193
Uttarakhand,3877056,58166878,88313.37,2022,2nd Quarter,5,30.0668,79.0193
Uttarakhand,4081976,63996519,92641.26,2022,3rd Quarter,5,30.0668,79.0193
Uttarakhand,4272049,77983880,115000.00,2022,4th Quarter,5,30.0668,79.0193
West Bengal,2604789,11710225,10625.98,2018,1st Quarter,19,22.58039044,88.32994665
West Bengal,3833795,18082446,18629.18,2018,2nd Quarter,19,22.58039044,88.32994665
West Bengal,4851740,53705416,41843.93,2018,3rd Quarter,19,22.58039044,88.32994665
West Bengal,6279278,36513548,40489.62,2018,4th Quarter,19,22.58039044,88.32994665
West Bengal,7449425,47626388,50164.67,2019,1st Quarter,19,22.58039044,88.32994665
West Bengal,8612795,47023535,57105.69,2019,2nd Quarter,19,22.58039044,88.32994665
West Bengal,9643222,66444829,70540.53,2019,3rd Quarter,19,22.58039044,88.32994665
West Bengal,10885058,96805838,88203.61,2019,4th Quarter,19,22.58039044,88.32994665
West Bengal,11960822,66250381,96653.31,2020,1st Quarter,19,22.58039044,88.32994665
West Bengal,13222022,57676797,100000.00,2020,2nd Quarter,19,22.58039044,88.32994665
West Bengal,14448366,79954504,157000.00,2020,3rd Quarter,19,22.58039044,88.32994665
West Bengal,15662093,100340645,199000.00,2020,4th Quarter,19,22.58039044,88.32994665
West Bengal,16808799,118254052,243000.00,2021,1st Quarter,19,22.58039044,88.32994665
West Bengal,17979979,141897437,279000.00,2021,2nd Quarter,19,22.58039044,88.32994665
West Bengal,19323278,181712988,362000.00,2021,3rd Quarter,19,22.58039044,88.32994665
West Bengal,20644527,225029560,462000.00,2021,4th Quarter,19,22.58039044,88.32994665
West Bengal,21919787,260505092,551000.00,2022,1st Quarter,19,22.58039044,88.32994665
West Bengal,23124388,315742141,649000.00,2022,2nd Quarter,19,22.58039044,88.32994665
West Bengal,24372048,356792388,705000.00,2022,3rd Quarter,19,22.58039044,88.32994665
West Bengal,25536381,405847597,788000.00,2022,4th Quarter,19,22.58039044,88.32994665
